tanggal_entry;PARTNO_INDUK;Part No.;Part Name;Shop Code;Job No.;Qty/Kbn;Rack Address;Hole Address;Rack Layer;Position;Cap Hole;Ratio;Part Remark;Implementation Date;Type;Code Area;Area;Zone;POS
13/09/2019 09:00;90048-71278-00;90048-71278-00;PLUG HOLE;ASSY 2;TG-0327;500;P-PBS-A01;N01;1;TOP;5;50;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;90467-09196-00;90467-09196-00;CLIP;ASSY 2;TG-0881;1000;P-PBS-A01;N02;1;TOP;5;50;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;90044-80667-00;90044-80667-00;GROMMET;ASSY 2;TG-1215;1000;P-PBS-A01;N03;2;TOP;5;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;53455-BZ130-00;53455-BZ130-00;CLAMP HOOD SUPPORT ROD;ASSY 2;NX-2801;150;P-PBS-A01;N04;2;TOP;5;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;52581-BZ110-00;52581-BZ110-00;PROTECTOR RR BUMPER FILLER;ASSY 2;GT-2706;1000;P-PBS-A01;N05;2;TOP;10;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;53455-BZ080-00;53455-BZ080-00;CLAMP HOOD SUPPORT ROD;ASSY 2;AX-2753;300;P-PBS-A01;N10;3;TOP;10;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;9004A-48054-00;9004A-48054-00;GROMMET;ASSY 2;NX-1215;1000;P-PBS-A01;N11;4;TOP;4;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;9004A-10168-00;9004A-10168-00;BOLT FLANGE;ASSY 2;NX-3966;1500;P-PBS-A01;N12;4;TOP;5;13;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;90041-19587-00;90041-19587-00;BOLT W/WASHER;ASSY 2;TG-1143;1250;P-PBS-A01;N13;4;TOP;5;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;53451-BZ120-00;53451-BZ120-00;ROD HOOD SUPPORT;ASSY 2;NX-2800;75;P-PBS-A01;N16;5;TOP;5;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;53451-BZ140-00;53451-BZ140-00;ROD HOOD SUPPORT;ASSY 2;GT-0326;50;P-PBS-A01;N17;5;TOP;5;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;53440-BZ080-00;53440-BZ080-00;SUPPORT ASSY HOOD;ASSY 2;GT-1978;50;P-PBS-A01;N18;5;TOP;5;100;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;53451-BZ130-00;53451-BZ130-00;ROD HOOD SUPPORT;ASSY 2;GT-0325;50;P-PBS-A01;N19;5;TOP;5;100;1 - Full JIT;08-Apr-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;9004A-48059-00;9004A-48059-00;GROMMET;ASSY 2;GT-4802;1000;P-PBS-A02;N01;1;TOP;4;50;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;9004A-95068-00;9004A-95068-00;PLUG HOLE;ASSY 2;TR-3791;2000;P-PBS-A02;N02;1;TOP;4;17;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
13/09/2019 09:00;90041-89084-00;90041-89084-00;GROMMET SCREW;ASSY 2;TG-0261;2000;P-PBS-A02;N03;1;TOP;5;50;1 - Full JIT;24-Mar-2019;ADD;A;PRODUCTION;PTDL;PBS Production
